onset	duration	sample	type	marker_code
0	0.0002	181592	Response	R128
0	0.0002	192092	Response	R128
0	0.0002	192275	Stimulus	S 1
1.007	0.0002	197310	Stimulus	S 5
2.007	0.0002	202310	Stimulus	S 5
2.0634	0.0002	202592	Response	R128
3.0072	0.0002	207311	Stimulus	S 5
4.0072	0.0002	212311	Stimulus	S 5
4.1634	0.0002	213092	Response	R128
5.0072	0.0002	217311	Stimulus	S 5
6.0072	0.0002	222311	Stimulus	S 5
6.2634	0.0002	223592	Response	R128
7.0074	0.0002	227312	Stimulus	S 5
8.0074	0.0002	232312	Stimulus	S 5
8.3634	0.0002	234092	Response	R128
9.0074	0.0002	237312	Stimulus	S 5
10.0074	0.0002	242312	Stimulus	S 5
10.4634	0.0002	244592	Response	R128
11.0076	0.0002	247313	Stimulus	S 5
12.0076	0.0002	252313	Stimulus	S 5
12.5634	0.0002	255092	Response	R128
13.0076	0.0002	257313	Stimulus	S 5
14.0078	0.0002	262314	Stimulus	S 5
14.6634	0.0002	265592	Response	R128
15.0078	0.0002	267314	Stimulus	S 5
16.0084	0.0002	272317	Stimulus	S 5
16.7634	0.0002	276092	Response	R128
17.0086	0.0002	277318	Stimulus	S 5
18.008	0.0002	282315	Stimulus	S 5
18.8634	0.0002	286592	Response	R128
19.008	0.0002	287315	Stimulus	S 5
20.008	0.0002	292315	Stimulus	S 5
20.9634	0.0002	297092	Response	R128
21.008	0.0002	297315	Stimulus	S 5
22.0082	0.0002	302316	Stimulus	S 5
23.0082	0.0002	307316	Stimulus	S 5
23.0634	0.0002	307592	Response	R128
24.0082	0.0002	312316	Stimulus	S 5
25.0082	0.0002	317316	Stimulus	S 5
25.1634	0.0002	318092	Response	R128
26.0084	0.0002	322317	Stimulus	S 5
27.0084	0.0002	327317	Stimulus	S 5
27.2634	0.0002	328592	Response	R128
28.0084	0.0002	332317	Stimulus	S 5
29.0084	0.0002	337317	Stimulus	S 5
29.3634	0.0002	339092	Response	R128
30.0086	0.0002	342318	Stimulus	S 5
31.0086	0.0002	347318	Stimulus	S 5
31.4634	0.0002	349592	Response	R128
32.0086	0.0002	352318	Stimulus	S 5
33.0086	0.0002	357318	Stimulus	S 5
33.5634	0.0002	360092	Response	R128
34.0088	0.0002	362319	Stimulus	S 5
35.0088	0.0002	367319	Stimulus	S 5
35.6634	0.0002	370592	Response	R128
36.0138	0.0002	372344	Stimulus	S 5
37.0138	0.0002	377344	Stimulus	S 5
37.7634	0.0002	381092	Response	R128
38.0138	0.0002	382344	Stimulus	S 5
39.0138	0.0002	387344	Stimulus	S 5
39.8634	0.0002	391592	Response	R128
40.0138	0.0002	392344	Stimulus	S 5
41.0136	0.0002	397343	Stimulus	S 5
41.9634	0.0002	402092	Response	R128
42.0134	0.0002	402342	Stimulus	S 5
43.0134	0.0002	407342	Stimulus	S 5
44.0134	0.0002	412342	Stimulus	S 5
44.0634	0.0002	412592	Response	R128
45.0134	0.0002	417342	Stimulus	S 5
46.0132	0.0002	422341	Stimulus	S 5
46.1634	0.0002	423092	Response	R128
47.0132	0.0002	427341	Stimulus	S 5
48.0132	0.0002	432341	Stimulus	S 5
48.2634	0.0002	433592	Response	R128
49.013	0.0002	437340	Stimulus	S 5
50.013	0.0002	442340	Stimulus	S 5
50.3634	0.0002	444092	Response	R128
51.013	0.0002	447340	Stimulus	S 5
52.013	0.0002	452340	Stimulus	S 5
52.4634	0.0002	454592	Response	R128
53.0128	0.0002	457339	Stimulus	S 5
54.0128	0.0002	462339	Stimulus	S 5
54.5634	0.0002	465092	Response	R128
55.0128	0.0002	467339	Stimulus	S 5
56.0128	0.0002	472339	Stimulus	S 5
56.6634	0.0002	475592	Response	R128
57.0126	0.0002	477338	Stimulus	S 5
58.0126	0.0002	482338	Stimulus	S 5
58.7634	0.0002	486092	Response	R128
59.0126	0.0002	487338	Stimulus	S 5
60.0124	0.0002	492337	Stimulus	S 5
60.8634	0.0002	496592	Response	R128
61.0124	0.0002	497337	Stimulus	S 5
