onset	duration	sample	type	marker_code
0	0.0002	118137	Response	R128
0	0.0002	128637	Response	R128
0	0.0002	128843	Stimulus	S 1
1.054	0.0002	134113	Stimulus	S 5
2.058	0.0002	139133	Stimulus	S 5
2.0588	0.0002	139137	Response	R128
3.0582	0.0002	144134	Stimulus	S 5
4.0592	0.0002	149139	Stimulus	S 5
4.1588	0.0002	149637	Response	R128
5.0612	0.0002	154149	Stimulus	S 5
6.0656	0.0002	159171	Stimulus	S 5
6.2588	0.0002	160137	Response	R128
7.0656	0.0002	164171	Stimulus	S 5
8.0654	0.0002	169170	Stimulus	S 5
8.3588	0.0002	170637	Response	R128
9.0662	0.0002	174174	Stimulus	S 5
10.0662	0.0002	179174	Stimulus	S 5
10.4588	0.0002	181137	Response	R128
11.0652	0.0002	184169	Stimulus	S 5
12.0672	0.0002	189179	Stimulus	S 5
12.5588	0.0002	191637	Response	R128
13.0682	0.0002	194184	Stimulus	S 5
14.0692	0.0002	199189	Stimulus	S 5
14.6588	0.0002	202137	Response	R128
15.0712	0.0002	204199	Stimulus	S 5
16.0652	0.0002	209169	Stimulus	S 5
16.7588	0.0002	212637	Response	R128
17.074	0.0002	214213	Stimulus	S 5
18.0752	0.0002	219219	Stimulus	S 5
18.8588	0.0002	223137	Response	R128
19.0752	0.0002	224219	Stimulus	S 5
20.0754	0.0002	229220	Stimulus	S 5
20.9588	0.0002	233637	Response	R128
21.0782	0.0002	234234	Stimulus	S 5
22.0812	0.0002	239249	Stimulus	S 5
23.0588	0.0002	244137	Response	R128
23.0814	0.0002	244250	Stimulus	S 5
24.0812	0.0002	249249	Stimulus	S 5
25.0812	0.0002	254249	Stimulus	S 5
25.1588	0.0002	254637	Response	R128
26.0812	0.0002	259249	Stimulus	S 5
27.0856	0.0002	264271	Stimulus	S 5
27.2588	0.0002	265137	Response	R128
28.0854	0.0002	269270	Stimulus	S 5
29.0864	0.0002	274275	Stimulus	S 5
29.3588	0.0002	275637	Response	R128
30.0864	0.0002	279275	Stimulus	S 5
31.0884	0.0002	284285	Stimulus	S 5
31.4588	0.0002	286137	Response	R128
32.0874	0.0002	289280	Stimulus	S 5
33.0874	0.0002	294280	Stimulus	S 5
33.5588	0.0002	296637	Response	R128
34.0894	0.0002	299290	Stimulus	S 5
35.0914	0.0002	304300	Stimulus	S 5
35.6588	0.0002	307137	Response	R128
36.0844	0.0002	309265	Stimulus	S 5
37.0972	0.0002	314329	Stimulus	S 5
37.7588	0.0002	317637	Response	R128
38.0972	0.0002	319329	Stimulus	S 5
39.097	0.0002	324328	Stimulus	S 5
39.8588	0.0002	328137	Response	R128
40.097	0.0002	329328	Stimulus	S 5
41.0984	0.0002	334335	Stimulus	S 5
41.9588	0.0002	338637	Response	R128
42.0974	0.0002	339330	Stimulus	S 5
43.0984	0.0002	344335	Stimulus	S 5
44.0588	0.0002	349137	Response	R128
44.0986	0.0002	349336	Stimulus	S 5
45.1016	0.0002	354351	Stimulus	S 5
46.0968	0.0002	359327	Stimulus	S 5
46.1588	0.0002	359637	Response	R128
47.1048	0.0002	364367	Stimulus	S 5
48.1056	0.0002	369371	Stimulus	S 5
48.2588	0.0002	370137	Response	R128
49.1066	0.0002	374376	Stimulus	S 5
50.1056	0.0002	379371	Stimulus	S 5
50.3588	0.0002	380637	Response	R128
51.1086	0.0002	384386	Stimulus	S 5
52.113	0.0002	389408	Stimulus	S 5
52.4588	0.0002	391137	Response	R128
53.113	0.0002	394408	Stimulus	S 5
54.1128	0.0002	399407	Stimulus	S 5
54.5588	0.0002	401637	Response	R128
55.1128	0.0002	404407	Stimulus	S 5
56.1128	0.0002	409407	Stimulus	S 5
56.6588	0.0002	412137	Response	R128
57.1148	0.0002	414417	Stimulus	S 5
58.1156	0.0002	419421	Stimulus	S 5
58.7588	0.0002	422637	Response	R128
59.1146	0.0002	424416	Stimulus	S 5
60.1156	0.0002	429421	Stimulus	S 5
60.8588	0.0002	433137	Response	R128
61.1148	0.0002	434417	Stimulus	S 5
62.1178	0.0002	439432	Stimulus	S 5
62.9588	0.0002	443637	Response	R128
63.1188	0.0002	444437	Stimulus	S 5
64.1188	0.0002	449437	Stimulus	S 5
65.0588	0.0002	454137	Response	R128
65.1218	0.0002	454452	Stimulus	S 5
66.1148	0.0002	459417	Stimulus	S 5
67.1246	0.0002	464466	Stimulus	S 5
67.1588	0.0002	464637	Response	R128
68.1286	0.0002	469486	Stimulus	S 5
69.1286	0.0002	474486	Stimulus	S 5
69.2588	0.0002	475137	Response	R128
70.1286	0.0002	479486	Stimulus	S 5
71.1288	0.0002	484487	Stimulus	S 5
71.3588	0.0002	485637	Response	R128
72.1284	0.0002	489485	Stimulus	S 5
73.1298	0.0002	494492	Stimulus	S 5
73.4588	0.0002	496137	Response	R128
74.1288	0.0002	499487	Stimulus	S 5
75.1318	0.0002	504502	Stimulus	S 5
75.5588	0.0002	506637	Response	R128
76.1284	0.0002	509485	Stimulus	S 5
77.1346	0.0002	514516	Stimulus	S 5
77.6588	0.0002	517137	Response	R128
78.1358	0.0002	519522	Stimulus	S 5
79.135	0.0002	524518	Stimulus	S 5
79.7588	0.0002	527637	Response	R128
80.137	0.0002	529528	Stimulus	S 5
81.135	0.0002	534518	Stimulus	S 5
81.8588	0.0002	538137	Response	R128
82.138	0.0002	539533	Stimulus	S 5
83.138	0.0002	544533	Stimulus	S 5
83.9588	0.0002	548637	Response	R128
84.1446	0.0002	549566	Stimulus	S 5
85.1444	0.0002	554565	Stimulus	S 5
86.0588	0.0002	559137	Response	R128
86.1444	0.0002	559565	Stimulus	S 5
87.1452	0.0002	564569	Stimulus	S 5
88.146	0.0002	569573	Stimulus	S 5
88.1588	0.0002	569637	Response	R128
89.145	0.0002	574568	Stimulus	S 5
90.146	0.0002	579573	Stimulus	S 5
90.2588	0.0002	580137	Response	R128
91.145	0.0002	584568	Stimulus	S 5
92.148	0.0002	589583	Stimulus	S 5
92.3588	0.0002	590637	Response	R128
93.149	0.0002	594588	Stimulus	S 5
94.149	0.0002	599588	Stimulus	S 5
94.4588	0.0002	601137	Response	R128
95.152	0.0002	604603	Stimulus	S 5
96.1462	0.0002	609574	Stimulus	S 5
96.5588	0.0002	611637	Response	R128
97.1558	0.0002	614622	Stimulus	S 5
98.1602	0.0002	619644	Stimulus	S 5
98.6588	0.0002	622137	Response	R128
99.1602	0.0002	624644	Stimulus	S 5
100.1602	0.0002	629644	Stimulus	S 5
100.7588	0.0002	632637	Response	R128
101.16	0.0002	634643	Stimulus	S 5
102.1602	0.0002	639644	Stimulus	S 5
102.8588	0.0002	643137	Response	R128
103.16	0.0002	644643	Stimulus	S 5
104.1604	0.0002	649645	Stimulus	S 5
104.9588	0.0002	653637	Response	R128
105.16	0.0002	654643	Stimulus	S 5
106.1598	0.0002	659642	Stimulus	S 5
107.0588	0.0002	664137	Response	R128
107.1654	0.0002	664670	Stimulus	S 5
108.1652	0.0002	669669	Stimulus	S 5
109.1588	0.0002	674637	Response	R128
109.1662	0.0002	674674	Stimulus	S 5
110.1664	0.0002	679675	Stimulus	S 5
111.1652	0.0002	684669	Stimulus	S 5
111.2588	0.0002	685137	Response	R128
112.1682	0.0002	689684	Stimulus	S 5
113.1682	0.0002	694684	Stimulus	S 5
113.3588	0.0002	695637	Response	R128
114.1692	0.0002	699689	Stimulus	S 5
115.176	0.0002	704723	Stimulus	S 5
115.4588	0.0002	706137	Response	R128
116.176	0.0002	709723	Stimulus	S 5
117.1766	0.0002	714726	Stimulus	S 5
117.5588	0.0002	716637	Response	R128
118.1764	0.0002	719725	Stimulus	S 5
119.1764	0.0002	724725	Stimulus	S 5
119.6588	0.0002	727137	Response	R128
120.1764	0.0002	729725	Stimulus	S 5
121.1794	0.0002	734740	Stimulus	S 5
121.7588	0.0002	737637	Response	R128
122.1784	0.0002	739735	Stimulus	S 5
123.1794	0.0002	744740	Stimulus	S 5
123.8588	0.0002	748137	Response	R128
124.1794	0.0002	749740	Stimulus	S 5
125.1764	0.0002	754725	Stimulus	S 5
125.9588	0.0002	758637	Response	R128
126.1774	0.0002	759730	Stimulus	S 5
127.1856	0.0002	764771	Stimulus	S 5
128.0588	0.0002	769137	Response	R128
128.1854	0.0002	769770	Stimulus	S 5
129.1874	0.0002	774780	Stimulus	S 5
130.1588	0.0002	779637	Response	R128
130.1918	0.0002	779802	Stimulus	S 5
131.1918	0.0002	784802	Stimulus	S 5
132.1916	0.0002	789801	Stimulus	S 5
132.2588	0.0002	790137	Response	R128
133.1916	0.0002	794801	Stimulus	S 5
134.1916	0.0002	799801	Stimulus	S 5
134.3588	0.0002	800637	Response	R128
135.1916	0.0002	804801	Stimulus	S 5
136.1914	0.0002	809800	Stimulus	S 5
136.4588	0.0002	811137	Response	R128
137.1956	0.0002	814821	Stimulus	S 5
138.1964	0.0002	819825	Stimulus	S 5
138.5588	0.0002	821637	Response	R128
139.1956	0.0002	824821	Stimulus	S 5
140.1966	0.0002	829826	Stimulus	S 5
140.6588	0.0002	832137	Response	R128
141.1964	0.0002	834825	Stimulus	S 5
142.1986	0.0002	839836	Stimulus	S 5
142.7588	0.0002	842637	Response	R128
143.1986	0.0002	844836	Stimulus	S 5
144.1996	0.0002	849841	Stimulus	S 5
144.8588	0.0002	853137	Response	R128
145.2026	0.0002	854856	Stimulus	S 5
146.2076	0.0002	859881	Stimulus	S 5
146.9588	0.0002	863637	Response	R128
147.2076	0.0002	864881	Stimulus	S 5
148.208	0.0002	869883	Stimulus	S 5
149.0588	0.0002	874137	Response	R128
149.2088	0.0002	874887	Stimulus	S 5
150.2076	0.0002	879881	Stimulus	S 5
151.1588	0.0002	884637	Response	R128
151.2074	0.0002	884880	Stimulus	S 5
152.2086	0.0002	889886	Stimulus	S 5
153.2096	0.0002	894891	Stimulus	S 5
153.2588	0.0002	895137	Response	R128
154.2106	0.0002	899896	Stimulus	S 5
155.207	0.0002	904878	Stimulus	S 5
155.3588	0.0002	905637	Response	R128
156.2148	0.0002	909917	Stimulus	S 5
157.2158	0.0002	914922	Stimulus	S 5
157.4588	0.0002	916137	Response	R128
158.2168	0.0002	919927	Stimulus	S 5
159.2158	0.0002	924922	Stimulus	S 5
159.5588	0.0002	926637	Response	R128
160.2178	0.0002	929932	Stimulus	S 5
161.2158	0.0002	934922	Stimulus	S 5
161.6588	0.0002	937137	Response	R128
162.2196	0.0002	939941	Stimulus	S 5
163.2232	0.0002	944959	Stimulus	S 5
163.7588	0.0002	947637	Response	R128
164.2232	0.0002	949959	Stimulus	S 5
165.224	0.0002	954963	Stimulus	S 5
165.8588	0.0002	958137	Response	R128
166.223	0.0002	959958	Stimulus	S 5
167.2258	0.0002	964972	Stimulus	S 5
167.9588	0.0002	968637	Response	R128
168.226	0.0002	969973	Stimulus	S 5
169.226	0.0002	974973	Stimulus	S 5
170.0588	0.0002	979137	Response	R128
170.226	0.0002	979973	Stimulus	S 5
171.2258	0.0002	984972	Stimulus	S 5
172.1588	0.0002	989637	Response	R128
172.2288	0.0002	989987	Stimulus	S 5
173.2298	0.0002	994992	Stimulus	S 5
174.231	0.0002	999998	Stimulus	S 5
174.2588	0.0002	1000137	Response	R128
175.234	0.0002	1005013	Stimulus	S 5
176.227	0.0002	1009978	Stimulus	S 5
176.3588	0.0002	1010637	Response	R128
177.239	0.0002	1015038	Stimulus	S 5
178.239	0.0002	1020038	Stimulus	S 5
178.4588	0.0002	1021137	Response	R128
179.239	0.0002	1025038	Stimulus	S 5
180.2388	0.0002	1030037	Stimulus	S 5
180.5588	0.0002	1031637	Response	R128
181.24	0.0002	1035043	Stimulus	S 5
182.239	0.0002	1040038	Stimulus	S 5
182.6588	0.0002	1042137	Response	R128
183.241	0.0002	1045048	Stimulus	S 5
184.241	0.0002	1050048	Stimulus	S 5
