onset	duration	sample	type	marker_code
0	0.0002	177740	Response	R128
0	0.0002	188240	Response	R128
0	0.0002	188397	Stimulus	S 1
0.0024	0.0002	188409	Stimulus	S 10
0.0052	0.0002	188423	Stimulus	S 11
0.0072	0.0002	188433	Stimulus	S 12
1.0088	0.0002	193441	Stimulus	S 11
2.0086	0.0002	198440	Stimulus	S 11
2.0108	0.0002	198451	Stimulus	S 12
2.0686	0.0002	198740	Response	R128
3.0086	0.0002	203440	Stimulus	S 11
4.0086	0.0002	208440	Stimulus	S 11
4.0106	0.0002	208450	Stimulus	S 12
4.1686	0.0002	209240	Response	R128
5.0084	0.0002	213439	Stimulus	S 11
6.0084	0.0002	218439	Stimulus	S 11
6.0104	0.0002	218449	Stimulus	S 12
6.2686	0.0002	219740	Response	R128
7.0084	0.0002	223439	Stimulus	S 11
8.0084	0.0002	228439	Stimulus	S 11
8.0104	0.0002	228449	Stimulus	S 12
8.3686	0.0002	230240	Response	R128
9.0082	0.0002	233438	Stimulus	S 11
10.0082	0.0002	238438	Stimulus	S 11
10.0104	0.0002	238449	Stimulus	S 12
10.4686	0.0002	240740	Response	R128
11.0082	0.0002	243438	Stimulus	S 11
12.0082	0.0002	248438	Stimulus	S 11
12.0102	0.0002	248448	Stimulus	S 12
12.5686	0.0002	251240	Response	R128
13.008	0.0002	253437	Stimulus	S 11
14.008	0.0002	258437	Stimulus	S 11
14.01	0.0002	258447	Stimulus	S 12
14.6686	0.0002	261740	Response	R128
15.0078	0.0002	263436	Stimulus	S 11
16.0078	0.0002	268436	Stimulus	S 11
16.01	0.0002	268447	Stimulus	S 12
16.7686	0.0002	272240	Response	R128
17.0078	0.0002	273436	Stimulus	S 11
18.0078	0.0002	278436	Stimulus	S 11
18.0098	0.0002	278446	Stimulus	S 12
18.8686	0.0002	282740	Response	R128
19.0076	0.0002	283435	Stimulus	S 11
20.0076	0.0002	288435	Stimulus	S 25
20.0098	0.0002	288446	Stimulus	S 26
20.0118	0.0002	288456	Stimulus	S 27
20.9686	0.0002	293240	Response	R128
21.0076	0.0002	293435	Stimulus	S 26
22.0074	0.0002	298434	Stimulus	S 26
22.0096	0.0002	298445	Stimulus	S 27
23.0074	0.0002	303434	Stimulus	S 26
23.0686	0.0002	303740	Response	R128
24.0074	0.0002	308434	Stimulus	S 26
24.0096	0.0002	308445	Stimulus	S 27
25.0074	0.0002	313434	Stimulus	S 26
25.1686	0.0002	314240	Response	R128
26.0072	0.0002	318433	Stimulus	S 26
26.0094	0.0002	318444	Stimulus	S 27
27.0072	0.0002	323433	Stimulus	S 26
27.2686	0.0002	324740	Response	R128
28.0072	0.0002	328433	Stimulus	S 26
28.0092	0.0002	328443	Stimulus	S 27
29.007	0.0002	333432	Stimulus	S 26
29.3686	0.0002	335240	Response	R128
30.007	0.0002	338432	Stimulus	S 26
30.0092	0.0002	338443	Stimulus	S 27
31.007	0.0002	343432	Stimulus	S 26
31.4686	0.0002	345740	Response	R128
32.007	0.0002	348432	Stimulus	S 26
32.009	0.0002	348442	Stimulus	S 27
33.0068	0.0002	353431	Stimulus	S 26
33.5686	0.0002	356240	Response	R128
34.0068	0.0002	358431	Stimulus	S 26
34.009	0.0002	358442	Stimulus	S 27
35.0068	0.0002	363431	Stimulus	S 26
35.6686	0.0002	366740	Response	R128
36.0066	0.0002	368430	Stimulus	S 26
36.0088	0.0002	368441	Stimulus	S 27
37.0066	0.0002	373430	Stimulus	S 26
37.7686	0.0002	377240	Response	R128
38.0066	0.0002	378430	Stimulus	S 26
38.0086	0.0002	378440	Stimulus	S 27
39.0066	0.0002	383430	Stimulus	S 26
39.8686	0.0002	387740	Response	R128
40.0066	0.0002	388430	Stimulus	S 10
40.0088	0.0002	388441	Stimulus	S 11
40.0108	0.0002	388451	Stimulus	S 12
41.0064	0.0002	393429	Stimulus	S 11
41.9686	0.0002	398240	Response	R128
42.0064	0.0002	398429	Stimulus	S 11
42.0084	0.0002	398439	Stimulus	S 12
43.0064	0.0002	403429	Stimulus	S 11
44.0062	0.0002	408428	Stimulus	S 11
44.0084	0.0002	408439	Stimulus	S 12
44.0686	0.0002	408740	Response	R128
45.0062	0.0002	413428	Stimulus	S 11
46.0062	0.0002	418428	Stimulus	S 11
46.0082	0.0002	418438	Stimulus	S 12
46.1686	0.0002	419240	Response	R128
47.006	0.0002	423427	Stimulus	S 11
48.006	0.0002	428427	Stimulus	S 11
48.0082	0.0002	428438	Stimulus	S 12
48.2686	0.0002	429740	Response	R128
49.006	0.0002	433427	Stimulus	S 11
50.0058	0.0002	438426	Stimulus	S 11
50.008	0.0002	438437	Stimulus	S 12
50.3686	0.0002	440240	Response	R128
51.0058	0.0002	443426	Stimulus	S 11
52.0058	0.0002	448426	Stimulus	S 11
52.0078	0.0002	448436	Stimulus	S 12
52.4686	0.0002	450740	Response	R128
53.0056	0.0002	453425	Stimulus	S 11
54.0056	0.0002	458425	Stimulus	S 11
54.0078	0.0002	458436	Stimulus	S 12
54.5686	0.0002	461240	Response	R128
55.0056	0.0002	463425	Stimulus	S 11
56.0056	0.0002	468425	Stimulus	S 11
56.0076	0.0002	468435	Stimulus	S 12
56.6686	0.0002	471740	Response	R128
57.0054	0.0002	473424	Stimulus	S 11
58.0054	0.0002	478424	Stimulus	S 11
58.0074	0.0002	478434	Stimulus	S 12
58.7686	0.0002	482240	Response	R128
59.0054	0.0002	483424	Stimulus	S 11
60.0054	0.0002	488424	Stimulus	S 25
60.0074	0.0002	488434	Stimulus	S 26
60.0094	0.0002	488444	Stimulus	S 27
60.8686	0.0002	492740	Response	R128
61.0052	0.0002	493423	Stimulus	S 26
62.0052	0.0002	498423	Stimulus	S 26
62.0072	0.0002	498433	Stimulus	S 27
62.9686	0.0002	503240	Response	R128
63.005	0.0002	503422	Stimulus	S 26
64.005	0.0002	508422	Stimulus	S 26
64.0072	0.0002	508433	Stimulus	S 27
65.005	0.0002	513422	Stimulus	S 26
65.0686	0.0002	513740	Response	R128
66.005	0.0002	518422	Stimulus	S 26
66.007	0.0002	518432	Stimulus	S 27
67.0048	0.0002	523421	Stimulus	S 26
67.1686	0.0002	524240	Response	R128
68.0048	0.0002	528421	Stimulus	S 26
68.007	0.0002	528432	Stimulus	S 27
69.0048	0.0002	533421	Stimulus	S 26
69.2686	0.0002	534740	Response	R128
70.0046	0.0002	538420	Stimulus	S 26
70.0068	0.0002	538431	Stimulus	S 27
71.0046	0.0002	543420	Stimulus	S 26
71.3686	0.0002	545240	Response	R128
72.0046	0.0002	548420	Stimulus	S 26
72.0068	0.0002	548431	Stimulus	S 27
73.0046	0.0002	553420	Stimulus	S 26
73.4686	0.0002	555740	Response	R128
74.0044	0.0002	558419	Stimulus	S 26
74.0066	0.0002	558430	Stimulus	S 27
75.0044	0.0002	563419	Stimulus	S 26
75.5686	0.0002	566240	Response	R128
76.0044	0.0002	568419	Stimulus	S 26
76.0066	0.0002	568430	Stimulus	S 27
77.0042	0.0002	573418	Stimulus	S 26
77.6686	0.0002	576740	Response	R128
78.0042	0.0002	578418	Stimulus	S 26
78.0064	0.0002	578429	Stimulus	S 27
79.0042	0.0002	583418	Stimulus	S 26
79.7686	0.0002	587240	Response	R128
80.004	0.0002	588417	Stimulus	S 10
80.0062	0.0002	588428	Stimulus	S 11
80.0084	0.0002	588439	Stimulus	S 12
81.004	0.0002	593417	Stimulus	S 11
81.8686	0.0002	597740	Response	R128
82.004	0.0002	598417	Stimulus	S 11
82.006	0.0002	598427	Stimulus	S 12
83.004	0.0002	603417	Stimulus	S 11
83.9686	0.0002	608240	Response	R128
84.0038	0.0002	608416	Stimulus	S 11
