onset	duration	sample	type	marker_code
0	0.0002	270369	Response	R128
0	0.0002	272233	Stimulus	S 1
1.7272	0.0002	280869	Response	R128
3.8272	0.0002	291369	Response	R128
4.1998	0.0002	293232	Stimulus	S 2
5.9272	0.0002	301869	Response	R128
8.0272	0.0002	312369	Response	R128
8.3996	0.0002	314231	Stimulus	S 3
10.1272	0.0002	322869	Response	R128
12.2272	0.0002	333369	Response	R128
12.5994	0.0002	335230	Stimulus	S 4
14.3272	0.0002	343869	Response	R128
16.4272	0.0002	354369	Response	R128
16.799	0.0002	356228	Stimulus	S 5
18.5272	0.0002	364869	Response	R128
20.6272	0.0002	375369	Response	R128
20.9988	0.0002	377227	Stimulus	S 6
22.7272	0.0002	385869	Response	R128
24.8272	0.0002	396369	Response	R128
25.1986	0.0002	398226	Stimulus	S 7
26.9272	0.0002	406869	Response	R128
29.0272	0.0002	417369	Response	R128
29.3984	0.0002	419225	Stimulus	S 8
31.1272	0.0002	427869	Response	R128
33.2272	0.0002	438369	Response	R128
33.5982	0.0002	440224	Stimulus	S 9
35.3272	0.0002	448869	Response	R128
37.4272	0.0002	459369	Response	R128
37.7978	0.0002	461222	Stimulus	S 10
39.5272	0.0002	469869	Response	R128
41.6272	0.0002	480369	Response	R128
41.9976	0.0002	482221	Stimulus	S 11
43.7272	0.0002	490869	Response	R128
45.8272	0.0002	501369	Response	R128
46.1974	0.0002	503220	Stimulus	S 12
47.9272	0.0002	511869	Response	R128
50.0272	0.0002	522369	Response	R128
50.3972	0.0002	524219	Stimulus	S 13
52.1272	0.0002	532869	Response	R128
54.2272	0.0002	543369	Response	R128
54.5968	0.0002	545217	Stimulus	S 14
56.3272	0.0002	553869	Response	R128
58.4272	0.0002	564369	Response	R128
58.7966	0.0002	566216	Stimulus	S 15
60.5272	0.0002	574869	Response	R128
62.6272	0.0002	585369	Response	R128
62.9964	0.0002	587215	Stimulus	S 16
64.7272	0.0002	595869	Response	R128
66.8272	0.0002	606369	Response	R128
67.1962	0.0002	608214	Stimulus	S 17
68.9272	0.0002	616869	Response	R128
71.0272	0.0002	627369	Response	R128
71.396	0.0002	629213	Stimulus	S 18
73.1272	0.0002	637869	Response	R128
75.2272	0.0002	648369	Response	R128
75.5956	0.0002	650211	Stimulus	S 19
77.3272	0.0002	658869	Response	R128
79.4272	0.0002	669369	Response	R128
79.7954	0.0002	671210	Stimulus	S 20
81.5272	0.0002	679869	Response	R128
83.6272	0.0002	690369	Response	R128
83.9952	0.0002	692209	Stimulus	S 21
85.7272	0.0002	700869	Response	R128
87.8272	0.0002	711369	Response	R128
88.2116	0.0002	713291	Stimulus	S 22
89.9272	0.0002	721869	Response	R128
92.0272	0.0002	732369	Response	R128
92.4114	0.0002	734290	Stimulus	S 23
94.1272	0.0002	742869	Response	R128
96.2272	0.0002	753369	Response	R128
96.6112	0.0002	755289	Stimulus	S 24
98.3272	0.0002	763869	Response	R128
100.4272	0.0002	774369	Response	R128
100.8108	0.0002	776287	Stimulus	S 25
102.5272	0.0002	784869	Response	R128
104.6272	0.0002	795369	Response	R128
105.0106	0.0002	797286	Stimulus	S 26
106.7272	0.0002	805869	Response	R128
108.8272	0.0002	816369	Response	R128
109.2104	0.0002	818285	Stimulus	S 27
110.9272	0.0002	826869	Response	R128
113.0272	0.0002	837369	Response	R128
