onset	duration	sample	type	marker_code
0	0.0002	155825	Stimulus	S 1
0.0022	0.0002	155836	Stimulus	S 10
0.0046	0.0002	155848	Stimulus	S 11
0.0072	0.0002	155861	Stimulus	S 12
0.995	0.0002	160800	Stimulus	S 11
1.9956	0.0002	165803	Stimulus	S 11
1.9978	0.0002	165814	Stimulus	S 12
2.9962	0.0002	170806	Stimulus	S 11
3.997	0.0002	175810	Stimulus	S 11
3.9998	0.0002	175824	Stimulus	S 12
4.9976	0.0002	180813	Stimulus	S 11
5.9982	0.0002	185816	Stimulus	S 11
6.0004	0.0002	185827	Stimulus	S 12
6.9988	0.0002	190819	Stimulus	S 11
7.9996	0.0002	195823	Stimulus	S 11
8.0018	0.0002	195834	Stimulus	S 12
9.0002	0.0002	200826	Stimulus	S 11
10.0008	0.0002	205829	Stimulus	S 11
10.003	0.0002	205840	Stimulus	S 12
11.0016	0.0002	210833	Stimulus	S 11
12.0022	0.0002	215836	Stimulus	S 11
12.0044	0.0002	215847	Stimulus	S 12
13.0028	0.0002	220839	Stimulus	S 11
14.0036	0.0002	225843	Stimulus	S 11
14.0056	0.0002	225853	Stimulus	S 12
15.0042	0.0002	230846	Stimulus	S 11
16.0048	0.0002	235849	Stimulus	S 11
16.007	0.0002	235860	Stimulus	S 12
17.0054	0.0002	240852	Stimulus	S 11
18.0062	0.0002	245856	Stimulus	S 11
18.0082	0.0002	245866	Stimulus	S 12
19.0068	0.0002	250859	Stimulus	S 11
20.0076	0.0002	255863	Stimulus	S 25
20.0098	0.0002	255874	Stimulus	S 26
20.012	0.0002	255885	Stimulus	S 27
21.0082	0.0002	260866	Stimulus	S 26
22.009	0.0002	265870	Stimulus	S 26
22.0112	0.0002	265881	Stimulus	S 27
23.0096	0.0002	270873	Stimulus	S 26
24.0104	0.0002	275877	Stimulus	S 26
24.013	0.0002	275890	Stimulus	S 27
25.0108	0.0002	280879	Stimulus	S 26
26.0114	0.0002	285882	Stimulus	S 26
26.0136	0.0002	285893	Stimulus	S 27
27.0122	0.0002	290886	Stimulus	S 26
28.0128	0.0002	295889	Stimulus	S 26
28.0152	0.0002	295901	Stimulus	S 27
29.0134	0.0002	300892	Stimulus	S 26
30.0142	0.0002	305896	Stimulus	S 26
30.0162	0.0002	305906	Stimulus	S 27
31.0148	0.0002	310899	Stimulus	S 26
32.0154	0.0002	315902	Stimulus	S 26
32.0176	0.0002	315913	Stimulus	S 27
33.0162	0.0002	320906	Stimulus	S 26
34.0168	0.0002	325909	Stimulus	S 26
34.019	0.0002	325920	Stimulus	S 27
35.0174	0.0002	330912	Stimulus	S 26
36.0182	0.0002	335916	Stimulus	S 26
36.0202	0.0002	335926	Stimulus	S 27
37.0188	0.0002	340919	Stimulus	S 26
38.0194	0.0002	345922	Stimulus	S 26
38.0216	0.0002	345933	Stimulus	S 27
39.0202	0.0002	350926	Stimulus	S 26
40.021	0.0002	355930	Stimulus	S 10
40.0236	0.0002	355943	Stimulus	S 11
40.0256	0.0002	355953	Stimulus	S 12
41.0214	0.0002	360932	Stimulus	S 11
42.0222	0.0002	365936	Stimulus	S 11
42.0242	0.0002	365946	Stimulus	S 12
43.0228	0.0002	370939	Stimulus	S 11
44.0234	0.0002	375942	Stimulus	S 11
44.0256	0.0002	375953	Stimulus	S 12
45.024	0.0002	380945	Stimulus	S 11
46.0248	0.0002	385949	Stimulus	S 11
46.027	0.0002	385960	Stimulus	S 12
47.0254	0.0002	390952	Stimulus	S 11
48.0262	0.0002	395956	Stimulus	S 11
48.0282	0.0002	395966	Stimulus	S 12
49.0268	0.0002	400959	Stimulus	S 11
50.0274	0.0002	405962	Stimulus	S 11
50.0296	0.0002	405973	Stimulus	S 12
51.028	0.0002	410965	Stimulus	S 11
52.0288	0.0002	415969	Stimulus	S 11
52.031	0.0002	415980	Stimulus	S 12
53.0294	0.0002	420972	Stimulus	S 11
54.0302	0.0002	425976	Stimulus	S 11
54.0322	0.0002	425986	Stimulus	S 12
55.0308	0.0002	430979	Stimulus	S 11
56.0314	0.0002	435982	Stimulus	S 11
56.0336	0.0002	435993	Stimulus	S 12
57.0322	0.0002	440986	Stimulus	S 11
58.0328	0.0002	445989	Stimulus	S 11
58.035	0.0002	446000	Stimulus	S 12
59.0336	0.0002	450993	Stimulus	S 11
60.0342	0.0002	455996	Stimulus	S 25
60.037	0.0002	456010	Stimulus	S 26
60.039	0.0002	456020	Stimulus	S 27
61.0348	0.0002	460999	Stimulus	S 26
62.0356	0.0002	466003	Stimulus	S 26
62.0376	0.0002	466013	Stimulus	S 27
63.0362	0.0002	471006	Stimulus	S 26
64.0368	0.0002	476009	Stimulus	S 26
64.0388	0.0002	476019	Stimulus	S 27
65.0374	0.0002	481012	Stimulus	S 26
66.0382	0.0002	486016	Stimulus	S 26
66.0402	0.0002	486026	Stimulus	S 27
67.0388	0.0002	491019	Stimulus	S 26
68.0394	0.0002	496022	Stimulus	S 26
68.0416	0.0002	496033	Stimulus	S 27
69.0402	0.0002	501026	Stimulus	S 26
70.0408	0.0002	506029	Stimulus	S 26
70.0428	0.0002	506039	Stimulus	S 27
71.0414	0.0002	511032	Stimulus	S 26
72.042	0.0002	516035	Stimulus	S 26
72.0442	0.0002	516046	Stimulus	S 27
73.0428	0.0002	521039	Stimulus	S 26
74.0434	0.0002	526042	Stimulus	S 26
74.0456	0.0002	526053	Stimulus	S 27
75.044	0.0002	531045	Stimulus	S 26
76.0448	0.0002	536049	Stimulus	S 26
76.0468	0.0002	536059	Stimulus	S 27
77.0454	0.0002	541052	Stimulus	S 26
78.0462	0.0002	546056	Stimulus	S 26
78.0482	0.0002	546066	Stimulus	S 27
79.0468	0.0002	551059	Stimulus	S 26
80.0476	0.0002	556063	Stimulus	S 10
80.0498	0.0002	556074	Stimulus	S 11
80.0518	0.0002	556084	Stimulus	S 12
81.0482	0.0002	561066	Stimulus	S 11
82.0488	0.0002	566069	Stimulus	S 11
82.0508	0.0002	566079	Stimulus	S 12
83.0494	0.0002	571072	Stimulus	S 11
84.0502	0.0002	576076	Stimulus	S 11
84.0522	0.0002	576086	Stimulus	S 12
85.0508	0.0002	581079	Stimulus	S 11
86.0514	0.0002	586082	Stimulus	S 11
86.0536	0.0002	586093	Stimulus	S 12
87.0522	0.0002	591086	Stimulus	S 11
88.0528	0.0002	596089	Stimulus	S 11
88.0548	0.0002	596099	Stimulus	S 12
89.0534	0.0002	601092	Stimulus	S 11
90.054	0.0002	606095	Stimulus	S 11
90.0562	0.0002	606106	Stimulus	S 12
91.0548	0.0002	611099	Stimulus	S 11
92.0556	0.0002	616103	Stimulus	S 11
92.0576	0.0002	616113	Stimulus	S 12
93.0562	0.0002	621106	Stimulus	S 11
94.0568	0.0002	626109	Stimulus	S 11
94.0588	0.0002	626119	Stimulus	S 12
95.0574	0.0002	631112	Stimulus	S 11
96.0582	0.0002	636116	Stimulus	S 11
96.0602	0.0002	636126	Stimulus	S 12
97.0588	0.0002	641119	Stimulus	S 11
98.0594	0.0002	646122	Stimulus	S 11
98.0616	0.0002	646133	Stimulus	S 12
99.0602	0.0002	651126	Stimulus	S 11
100.061	0.0002	656130	Stimulus	S 25
100.063	0.0002	656140	Stimulus	S 26
100.0652	0.0002	656151	Stimulus	S 27
101.0614	0.0002	661132	Stimulus	S 26
102.0622	0.0002	666136	Stimulus	S 26
102.0642	0.0002	666146	Stimulus	S 27
103.0628	0.0002	671139	Stimulus	S 26
104.0634	0.0002	676142	Stimulus	S 26
104.0656	0.0002	676153	Stimulus	S 27
105.0642	0.0002	681146	Stimulus	S 26
106.0648	0.0002	686149	Stimulus	S 26
106.067	0.0002	686160	Stimulus	S 27
107.0654	0.0002	691152	Stimulus	S 26
108.0662	0.0002	696156	Stimulus	S 26
108.0682	0.0002	696166	Stimulus	S 27
109.0668	0.0002	701159	Stimulus	S 26
110.0674	0.0002	706162	Stimulus	S 26
110.0696	0.0002	706173	Stimulus	S 27
111.0682	0.0002	711166	Stimulus	S 26
112.0688	0.0002	716169	Stimulus	S 26
112.0708	0.0002	716179	Stimulus	S 27
113.0694	0.0002	721172	Stimulus	S 26
114.0702	0.0002	726176	Stimulus	S 26
114.0722	0.0002	726186	Stimulus	S 27
115.0708	0.0002	731179	Stimulus	S 26
116.0714	0.0002	736182	Stimulus	S 26
116.0736	0.0002	736193	Stimulus	S 27
117.0722	0.0002	741186	Stimulus	S 26
118.0728	0.0002	746189	Stimulus	S 26
118.0748	0.0002	746199	Stimulus	S 27
119.0734	0.0002	751192	Stimulus	S 26
120.0742	0.0002	756196	Stimulus	S 10
120.0764	0.0002	756207	Stimulus	S 11
120.0784	0.0002	756217	Stimulus	S 12
121.0748	0.0002	761199	Stimulus	S 11
122.0754	0.0002	766202	Stimulus	S 11
122.0776	0.0002	766213	Stimulus	S 12
123.0762	0.0002	771206	Stimulus	S 11
124.0768	0.0002	776209	Stimulus	S 11
124.079	0.0002	776220	Stimulus	S 12
125.0774	0.0002	781212	Stimulus	S 11
126.0782	0.0002	786216	Stimulus	S 11
126.0802	0.0002	786226	Stimulus	S 12
127.0788	0.0002	791219	Stimulus	S 11
128.0796	0.0002	796223	Stimulus	S 11
128.0816	0.0002	796233	Stimulus	S 12
129.0802	0.0002	801226	Stimulus	S 11
130.0808	0.0002	806229	Stimulus	S 11
130.083	0.0002	806240	Stimulus	S 12
131.0814	0.0002	811232	Stimulus	S 11
132.0822	0.0002	816236	Stimulus	S 11
132.0842	0.0002	816246	Stimulus	S 12
133.0828	0.0002	821239	Stimulus	S 11
134.0834	0.0002	826242	Stimulus	S 11
134.0856	0.0002	826253	Stimulus	S 12
135.084	0.0002	831245	Stimulus	S 11
136.0848	0.0002	836249	Stimulus	S 11
136.087	0.0002	836260	Stimulus	S 12
137.0854	0.0002	841252	Stimulus	S 11
138.086	0.0002	846255	Stimulus	S 11
138.0882	0.0002	846266	Stimulus	S 12
139.0868	0.0002	851259	Stimulus	S 11
140.0876	0.0002	856263	Stimulus	S 25
140.0898	0.0002	856274	Stimulus	S 26
140.0918	0.0002	856284	Stimulus	S 27
141.088	0.0002	861265	Stimulus	S 26
142.0888	0.0002	866269	Stimulus	S 26
142.0908	0.0002	866279	Stimulus	S 27
143.0894	0.0002	871272	Stimulus	S 26
144.0902	0.0002	876276	Stimulus	S 26
144.0922	0.0002	876286	Stimulus	S 27
145.0908	0.0002	881279	Stimulus	S 26
146.0914	0.0002	886282	Stimulus	S 26
146.0936	0.0002	886293	Stimulus	S 27
147.0922	0.0002	891286	Stimulus	S 26
148.0928	0.0002	896289	Stimulus	S 26
148.0948	0.0002	896299	Stimulus	S 27
149.0934	0.0002	901292	Stimulus	S 26
150.0942	0.0002	906296	Stimulus	S 26
150.0962	0.0002	906306	Stimulus	S 27
